CustomerID,Gender,Age,Subscription_Type,Monthly_Bill,Total_Usage_Minutes,Customer_Service_Calls,Past_Due_Days,Churn_Status
CUST0145,Female,39,Prepaid,89106.99,265,3,3,No
CUST0146,Male,38,Prepaid,60388.15,487,2,27,No
CUST0147,Male,23,Postpaid,193973.98,749,3,21,Yes
CUST0148,Male,18,Postpaid,121738.29,618,3,28,Yes
CUST0149,Male,22,Prepaid,184372.19,608,2,14,No
CUST0150,Female,58,Prepaid,98332.33,208,1,11,No
CUST0151,Male,29,Postpaid,68785.04,538,2,4,No
CUST0152,Male,43,Postpaid,121150.42,735,2,29,Yes
CUST0153,Male,63,Postpaid,67093.5,291,5,22,Yes
CUST0154,Male,51,Postpaid,122902.33,843,2,15,No
CUST0155,Male,31,Prepaid,188044.58,802,1,13,No
CUST0156,Female,43,Postpaid,128115.22,931,5,9,No
CUST0157,Male,62,Postpaid,142474.96,54,0,6,No
CUST0158,Female,44,Prepaid,73495.77,645,0,12,No
CUST0159,Male,26,Postpaid,56560.34,869,3,19,Yes
CUST0160,Female,43,Prepaid,66621.19,410,3,27,Yes
CUST0161,Male,64,Postpaid,139779.74,508,1,28,Yes
CUST0162,Male,39,Postpaid,64251.75,297,4,4,No
CUST0163,Female,64,Prepaid,106398.93,615,0,28,No
CUST0164,Female,47,Prepaid,132513.79,722,3,2,No
CUST0165,Female,60,Postpaid,108297.92,995,0,14,No
CUST0166,Male,34,Postpaid,74552.57,471,1,3,No
CUST0167,Female,43,Postpaid,91068.7,972,1,14,No
CUST0168,Male,53,Prepaid,189247.63,787,4,13,Yes
CUST0169,Male,18,Postpaid,151397.34,64,4,19,No
CUST0170,Female,25,Prepaid,124407.18,785,5,18,Yes
CUST0171,Female,52,Prepaid,51907.23,622,1,12,No
CUST0172,Male,32,Postpaid,198862.31,171,3,9,Yes
CUST0173,Male,64,Prepaid,150718.24,326,0,20,No
CUST0174,Female,39,Postpaid,97538.37,607,2,4,No
CUST0175,Female,31,Postpaid,181890.3,502,4,26,Yes
CUST0176,Female,43,Postpaid,88764.74,439,2,22,Yes
CUST0177,Male,45,Postpaid,131602.49,343,3,19,No
CUST0178,Male,40,Postpaid,145410.61,623,4,28,Yes
CUST0179,Male,31,Prepaid,83159.51,647,2,19,Yes
CUST0180,Male,41,Prepaid,196759.59,495,3,24,No
CUST0181,Male,19,Postpaid,162228.79,259,0,5,No
CUST0182,Male,62,Postpaid,133671.98,639,3,3,No
CUST0183,Female,43,Prepaid,77089.19,763,5,1,No
CUST0184,Male,31,Prepaid,58078.73,351,4,21,Yes
CUST0185,Male,24,Prepaid,98008.97,958,1,15,No
CUST0186,Male,20,Prepaid,162978.1,272,0,17,No
CUST0187,Female,64,Postpaid,90399.69,783,2,4,No
CUST0188,Male,40,Postpaid,130933.43,52,4,21,Yes
CUST0189,Male,63,Prepaid,159192.08,567,1,3,No
CUST0190,Female,60,Postpaid,66191.56,142,3,29,Yes
CUST0191,Male,64,Prepaid,152794.7,569,1,12,No
CUST0192,Male,62,Postpaid,63780.63,477,4,18,Yes
CUST0193,Male,35,Prepaid,194769.46,542,4,22,No
CUST0194,Male,55,Postpaid,123259.12,284,5,1,No
CUST0195,Male,52,Prepaid,72601.42,669,5,12,Yes
CUST0196,Female,32,Prepaid,101357.55,210,1,10,No
CUST0197,Female,42,Postpaid,112012.47,770,3,29,Yes
CUST0198,Female,54,Prepaid,163727.75,801,1,21,No
CUST0199,Male,45,Postpaid,161513.57,380,4,28,Yes
CUST0200,Male,27,Postpaid,141791.08,382,4,3,No
CUST0201,Male,56,Prepaid,65889.61,99,2,21,No
CUST0202,Female,34,Postpaid,72735.41,572,5,19,Yes
CUST0203,Male,56,Postpaid,64063.54,912,2,19,No
CUST0204,Male,39,Postpaid,136575.92,717,0,14,No
CUST0205,Female,43,Postpaid,181570.77,541,4,3,No
CUST0206,Male,61,Postpaid,115070.08,631,2,8,No
CUST0207,Female,42,Prepaid,74127.23,730,1,6,No
CUST0208,Female,34,Postpaid,133706.35,321,5,18,Yes
CUST0209,Female,30,Postpaid,171762.83,629,5,18,No
CUST0210,Male,37,Postpaid,161256.81,916,3,5,No
CUST0211,Male,42,Postpaid,182217.62,301,1,5,Yes
CUST0212,Male,21,Postpaid,91685.31,609,3,19,No
CUST0213,Male,27,Prepaid,79093.08,745,2,14,No
CUST0214,Male,20,Postpaid,181972.47,881,0,14,No
CUST0215,Male,58,Prepaid,148634.05,748,1,24,Yes
CUST0216,Male,62,Prepaid,96639.34,139,1,19,No
CUST0217,Female,35,Prepaid,161352.21,495,1,8,No
CUST0218,Male,64,Prepaid,172267.76,381,3,3,No
CUST0219,Female,53,Postpaid,142246.74,188,2,17,Yes
CUST0220,Male,64,Prepaid,153182.62,406,1,17,No
CUST0221,Male,39,Prepaid,106288.99,650,1,4,No
CUST0222,Male,51,Postpaid,130804.35,323,5,19,Yes
CUST0223,Female,64,Postpaid,128623.88,68,0,22,No
CUST0224,Female,25,Postpaid,177207.17,360,5,29,Yes
CUST0225,Female,57,Prepaid,175994.6,919,5,10,No
CUST0226,Female,61,Postpaid,174902.07,935,0,4,No
CUST0227,Male,36,Postpaid,51654.74,203,2,21,Yes
CUST0228,Female,59,Prepaid,162431.82,439,5,25,Yes
CUST0229,Male,58,Postpaid,163801.46,309,2,3,No
CUST0230,Male,54,Postpaid,151756.82,669,5,28,Yes
CUST0231,Female,23,Postpaid,163439.7,932,4,11,Yes
CUST0232,Female,43,Postpaid,176295.56,846,0,1,No
CUST0233,Female,51,Prepaid,120547.86,620,5,12,No
CUST0234,Female,62,Postpaid,125307.53,174,4,9,Yes
CUST0235,Female,23,Postpaid,68707.11,403,3,8,No
CUST0236,Female,54,Prepaid,107806.38,322,4,9,No
CUST0237,Female,50,Postpaid,146504.78,668,1,6,Yes
CUST0238,Female,39,Prepaid,167059.97,860,5,3,No
CUST0239,Male,38,Postpaid,82581.36,294,4,18,Yes
CUST0240,Female,23,Prepaid,70673.43,897,2,9,No
CUST0241,Female,23,Prepaid,149456.3,499,3,29,Yes
CUST0242,Male,21,Prepaid,50281.98,979,5,2,No
CUST0243,Female,47,Prepaid,76755.89,296,1,24,No
CUST0244,Male,28,Postpaid,54360.71,569,4,20,Yes
CUST0245,Male,47,Prepaid,75032.77,190,3,28,Yes
CUST0246,Female,48,Postpaid,77197.89,411,5,18,Yes
CUST0247,Male,41,Prepaid,108151.04,57,3,20,Yes
CUST0248,Male,26,Prepaid,110349.07,527,1,1,Yes
CUST0249,Male,20,Prepaid,181139.37,401,4,26,Yes
CUST0250,Male,48,Postpaid,126516.46,544,3,19,No
CUST0251,Female,57,Prepaid,158510.71,655,3,9,No
CUST0252,Male,54,Postpaid,65620.6,882,0,1,No
CUST0253,Female,53,Postpaid,83815.81,476,3,1,No
CUST0254,Male,41,Postpaid,155441.52,88,0,27,Yes
CUST0255,Male,48,Postpaid,57920.59,642,4,23,Yes
CUST0256,Male,23,Postpaid,122989.65,236,5,16,No
CUST0257,Male,19,Postpaid,139905.34,645,5,15,Yes
CUST0258,Female,37,Postpaid,140321.85,649,4,15,Yes
CUST0259,Female,45,Postpaid,53439.92,803,4,13,Yes
CUST0260,Male,28,Postpaid,98316.2,903,2,6,No
CUST0261,Male,21,Prepaid,145473.6,142,4,20,Yes
CUST0262,Female,32,Prepaid,72349.96,135,3,10,Yes
CUST0263,Male,23,Prepaid,154312.35,93,5,23,Yes
CUST0264,Male,47,Prepaid,161888.78,186,1,0,No
CUST0265,Male,55,Prepaid,197295.38,470,5,10,Yes
CUST0266,Female,19,Postpaid,81476.3,123,0,22,No
CUST0267,Female,32,Postpaid,173769.6,597,5,20,Yes
CUST0268,Female,28,Postpaid,128044.49,662,2,3,No
CUST0269,Male,25,Postpaid,106019.39,561,4,6,No
CUST0270,Male,43,Postpaid,68356.51,205,4,25,Yes
CUST0271,Female,62,Postpaid,160325.84,987,5,14,Yes
CUST0272,Female,61,Postpaid,85378.64,304,1,17,No
CUST0273,Female,22,Prepaid,105713.3,220,1,11,No
CUST0274,Female,23,Prepaid,59381.33,777,2,16,No
CUST0275,Male,43,Prepaid,170205.04,219,0,0,No
CUST0276,Female,21,Prepaid,164988.28,813,5,10,Yes
CUST0277,Male,36,Postpaid,160042.37,921,4,27,Yes
CUST0278,Female,37,Postpaid,94916.53,371,5,0,No
CUST0279,Male,50,Postpaid,76022.01,616,2,14,No
CUST0280,Female,37,Prepaid,145632.99,505,3,27,No
CUST0281,Female,29,Postpaid,124424.96,993,3,20,Yes
CUST0282,Female,64,Postpaid,76737.87,652,2,9,Yes
CUST0283,Female,18,Postpaid,152886.69,839,4,6,No
CUST0284,Male,43,Prepaid,198668.96,662,2,1,No
CUST0285,Female,31,Postpaid,162082.94,204,4,9,Yes
CUST0286,Male,55,Prepaid,160997.96,938,1,23,Yes
CUST0287,Male,54,Prepaid,192546.91,398,2,3,No
CUST0288,Male,28,Prepaid,80440.46,500,4,11,No
CUST0289,Male,53,Prepaid,134832.49,925,2,18,No
CUST0290,Female,30,Postpaid,196947.01,702,2,25,Yes
CUST0291,Male,60,Prepaid,74794.12,222,4,10,Yes
CUST0292,Male,20,Prepaid,155037.79,59,4,7,Yes
CUST0293,Male,50,Postpaid,137871.52,789,0,17,No
CUST0294,Female,23,Postpaid,137971.86,314,2,10,No
CUST0295,Female,27,Prepaid,154650.59,487,3,10,No
CUST0296,Female,22,Postpaid,189442.54,809,2,12,No
CUST0297,Female,40,Prepaid,167387.29,296,2,2,No
CUST0298,Male,27,Prepaid,58420.42,716,4,11,Yes
CUST0299,Male,61,Prepaid,177909.2,595,2,2,No
CUST0300,Female,19,Prepaid,83831.2,548,5,9,Yes
CUST0301,Male,30,Postpaid,106537.12,178,2,26,No
CUST0302,Male,57,Prepaid,119259.92,721,5,16,Yes
CUST0303,Male,19,Postpaid,122135.9,650,3,21,Yes
CUST0304,Female,37,Postpaid,115277.06,654,4,1,No
CUST0305,Female,18,Postpaid,190602.99,376,2,16,No
CUST0306,Male,54,Postpaid,155902.85,802,5,15,Yes
CUST0307,Female,26,Prepaid,144675.6,884,5,1,No
CUST0308,Female,34,Postpaid,57476.3,453,5,27,Yes
CUST0309,Female,26,Prepaid,185587.0,678,1,21,No
CUST0310,Female,28,Postpaid,186408.53,655,0,29,No
CUST0311,Female,32,Postpaid,167031.96,724,3,19,Yes
CUST0312,Male,41,Prepaid,51054.38,660,2,5,No
CUST0313,Female,55,Prepaid,58592.04,674,1,27,No
CUST0314,Male,52,Prepaid,83783.56,408,2,24,Yes
CUST0315,Male,47,Postpaid,69702.41,652,2,28,No
CUST0316,Female,48,Postpaid,109825.4,907,4,9,No
CUST0317,Male,22,Prepaid,188393.46,767,4,27,Yes
CUST0318,Male,61,Prepaid,120809.07,66,4,9,No
CUST0319,Male,31,Prepaid,52010.39,323,1,7,No
CUST0320,Female,28,Prepaid,92411.85,734,2,0,No
CUST0321,Female,26,Postpaid,56689.24,165,0,12,No
CUST0322,Male,51,Prepaid,55443.14,910,3,23,No
CUST0323,Female,29,Prepaid,91357.98,742,4,8,No
CUST0324,Female,52,Prepaid,91341.85,140,4,21,Yes
CUST0325,Female,52,Prepaid,168068.99,131,2,9,No
CUST0326,Female,18,Postpaid,196225.2,373,2,14,No
CUST0327,Male,57,Prepaid,105681.06,163,1,4,No
CUST0328,Male,39,Postpaid,114333.03,818,1,21,Yes
CUST0329,Female,46,Prepaid,176718.42,107,4,15,No
CUST0330,Female,25,Prepaid,90220.85,203,2,12,No
CUST0331,Male,28,Postpaid,73457.27,926,0,21,Yes
CUST0332,Male,58,Prepaid,177963.44,453,3,24,Yes
CUST0333,Female,54,Postpaid,56975.09,677,2,19,Yes
CUST0334,Male,31,Postpaid,142954.92,904,2,17,No
CUST0335,Female,47,Prepaid,134298.93,315,5,10,Yes
CUST0336,Female,52,Postpaid,101888.07,364,1,26,No
CUST0337,Male,38,Postpaid,97278.43,764,3,8,Yes
CUST0338,Male,54,Postpaid,165778.66,90,4,15,Yes
CUST0339,Female,22,Postpaid,62963.69,154,2,1,No
CUST0340,Female,36,Postpaid,85517.65,950,4,25,Yes
CUST0341,Male,31,Postpaid,159867.31,939,2,24,Yes
CUST0342,Female,43,Postpaid,132248.09,242,4,1,No
CUST0343,Male,21,Postpaid,69198.23,450,3,11,No
CUST0344,Female,42,Prepaid,182320.34,327,1,7,No
CUST0345,Male,62,Prepaid,109017.18,403,3,8,No
CUST0346,Male,59,Postpaid,174180.26,798,5,11,Yes
CUST0347,Male,42,Prepaid,168156.95,986,0,25,No
CUST0348,Female,35,Postpaid,143663.82,782,1,8,No
CUST0349,Female,57,Postpaid,124172.17,629,3,9,No
CUST0350,Male,25,Prepaid,196932.63,758,5,24,Yes
CUST0351,Female,56,Postpaid,71744.76,305,0,1,No
CUST0352,Male,57,Postpaid,158773.36,700,5,15,No
CUST0353,Male,31,Postpaid,78678.61,873,2,19,Yes
CUST0354,Female,49,Postpaid,100739.47,996,2,6,No
CUST0355,Female,55,Prepaid,96304.81,710,4,27,Yes
CUST0356,Male,50,Postpaid,192055.4,148,1,1,No
CUST0357,Female,40,Postpaid,195103.43,637,2,0,No
CUST0358,Female,32,Postpaid,77452.32,331,5,18,Yes
CUST0359,Male,50,Prepaid,53305.27,932,1,27,Yes
CUST0360,Male,42,Postpaid,158001.21,452,2,3,No
CUST0361,Female,34,Prepaid,112698.49,158,4,23,Yes
CUST0362,Male,50,Prepaid,63326.04,749,3,21,Yes
CUST0363,Male,64,Postpaid,152563.12,248,4,26,No
CUST0364,Female,19,Postpaid,131765.83,352,0,1,No
CUST0365,Male,31,Prepaid,197077.52,376,2,24,No
CUST0366,Male,57,Postpaid,84111.42,203,0,13,No
CUST0367,Female,57,Prepaid,110596.68,601,0,1,Yes
CUST0368,Female,56,Prepaid,131381.87,694,5,28,Yes
CUST0369,Male,23,Postpaid,168755.0,454,1,14,No
CUST0370,Male,23,Postpaid,132325.8,511,5,11,No
CUST0371,Female,20,Prepaid,141935.02,181,2,4,No
CUST0372,Female,24,Prepaid,83922.06,840,0,27,No
CUST0373,Female,25,Prepaid,177037.81,923,3,19,Yes
CUST0374,Female,59,Prepaid,114294.58,133,0,28,Yes
CUST0375,Male,32,Postpaid,71143.94,448,3,6,No
CUST0376,Female,64,Postpaid,149628.19,803,5,23,No
CUST0377,Female,46,Postpaid,82413.57,677,5,20,No
CUST0378,Male,50,Postpaid,64634.38,158,1,9,No
CUST0379,Female,47,Postpaid,179298.04,270,0,13,No
CUST0380,Male,56,Prepaid,119024.34,953,4,13,Yes
CUST0381,Female,44,Postpaid,162392.56,602,5,4,Yes
CUST0382,Female,53,Postpaid,93588.13,417,5,17,Yes
CUST0383,Female,46,Postpaid,168045.52,196,1,23,Yes
CUST0384,Male,55,Postpaid,66790.39,161,3,13,Yes
CUST0385,Male,50,Postpaid,103396.01,664,1,1,No
CUST0386,Female,54,Prepaid,196709.27,607,0,25,No
CUST0387,Male,44,Prepaid,169098.46,973,2,11,No
CUST0388,Male,50,Prepaid,124588.39,543,2,21,Yes
CUST0389,Male,21,Postpaid,100966.62,554,3,23,Yes
CUST0390,Male,39,Prepaid,180820.36,524,5,5,Yes
CUST0391,Male,19,Prepaid,131727.16,885,3,3,No
CUST0392,Male,27,Postpaid,163763.75,939,5,12,No
CUST0393,Female,22,Postpaid,163116.15,320,5,3,No
CUST0394,Female,27,Postpaid,52691.85,470,2,21,Yes
CUST0395,Male,50,Prepaid,68938.07,946,3,13,No
CUST0396,Female,55,Prepaid,148944.4,756,1,15,Yes
CUST0397,Female,30,Postpaid,74242.97,416,5,28,Yes
CUST0398,Female,48,Postpaid,88324.0,329,4,3,No
CUST0399,Female,64,Prepaid,191995.69,332,4,23,Yes
CUST0400,Male,53,Prepaid,134027.34,89,1,24,Yes
CUST0401,Female,62,Postpaid,162609.43,238,4,0,No
CUST0402,Female,41,Postpaid,133697.11,213,0,12,No
CUST0403,Male,32,Prepaid,132877.04,585,5,3,Yes
CUST0404,Male,46,Postpaid,64122.79,585,1,19,Yes
CUST0405,Female,25,Prepaid,101549.48,53,3,17,Yes
CUST0406,Female,22,Prepaid,92364.63,884,5,5,Yes
CUST0407,Female,46,Prepaid,108609.25,339,1,2,No
CUST0408,Female,64,Prepaid,169751.63,482,2,22,Yes
CUST0409,Female,21,Postpaid,105789.9,520,3,12,No
CUST0410,Female,29,Postpaid,117754.52,230,2,26,Yes
CUST0411,Male,62,Prepaid,109607.21,297,5,15,No
CUST0412,Female,19,Prepaid,64011.2,677,3,26,Yes
CUST0413,Female,44,Prepaid,116160.82,328,4,4,No
CUST0414,Male,48,Prepaid,79341.39,926,1,3,No
CUST0415,Male,53,Prepaid,78008.49,630,5,20,Yes
CUST0416,Male,53,Postpaid,64105.42,912,0,7,No
CUST0417,Male,43,Postpaid,103500.65,303,3,18,Yes
CUST0418,Female,60,Postpaid,163622.28,230,3,13,No
CUST0419,Female,44,Postpaid,91466.25,879,5,6,No
CUST0420,Female,22,Prepaid,96852.37,730,5,13,No
CUST0421,Female,37,Prepaid,146401.2,874,2,5,No
CUST0422,Female,28,Prepaid,79376.12,558,4,11,No
CUST0423,Female,27,Prepaid,184543.69,810,2,15,Yes
CUST0424,Male,57,Prepaid,128028.58,749,2,16,No
CUST0425,Female,55,Postpaid,117140.44,615,4,12,Yes
CUST0426,Male,23,Prepaid,133673.03,375,0,22,No
CUST0427,Male,25,Postpaid,74905.15,406,2,13,No
CUST0428,Female,40,Postpaid,142020.97,874,2,28,Yes
CUST0429,Male,64,Postpaid,104465.11,699,3,6,No
CUST0430,Female,43,Postpaid,184577.95,729,4,13,No
CUST0431,Male,63,Prepaid,75328.13,440,1,14,No
CUST0432,Female,60,Postpaid,126057.67,664,0,11,No
CUST0433,Male,29,Postpaid,139716.89,983,0,16,No
CUST0434,Female,43,Postpaid,55007.54,134,4,8,Yes
CUST0435,Female,30,Prepaid,104553.97,366,5,21,Yes
CUST0436,Female,57,Prepaid,159895.29,261,5,14,Yes
CUST0437,Female,35,Prepaid,173056.63,564,3,11,No
CUST0438,Female,42,Postpaid,96974.3,433,3,1,No
CUST0439,Male,50,Postpaid,169788.99,740,4,4,No
CUST0440,Male,64,Prepaid,195163.38,391,3,12,No
CUST0441,Male,57,Postpaid,178531.09,864,0,26,No
CUST0442,Female,60,Prepaid,67646.6,893,0,19,No
CUST0443,Male,29,Prepaid,160959.55,87,1,22,No
CUST0444,Female,61,Postpaid,97950.02,560,5,7,Yes
CUST0445,Female,53,Postpaid,198262.4,469,4,26,Yes
CUST0446,Male,21,Postpaid,122803.85,800,2,13,No
CUST0447,Male,22,Postpaid,68365.08,218,5,14,Yes
CUST0448,Female,54,Prepaid,158777.83,958,2,10,No
CUST0449,Male,25,Prepaid,98451.68,392,1,0,Yes
